klasifikasi;TP;FP;TN;FN;FPR;TPR
rf-noresampling;189;11;8831;954;0,0012;0,1654
rf-smote;237;36;8806;906;0,0041;0,2073
rf-lnsmote;269;47;8795;874;0,0053;0,2353
crf-200-1;1105;4135;4707;38;0,4677;0,9668
crf-200-1-smote;1119;5573;3269;24;0,6303;0,9790
crf-200-1-lnsmote;1132;7567;1275;11;0,8558;0,9904
crf-100-2;929;2126;6716;214;0,2404;0,8128
crf-100-2-smote;1033;3186;5656;110;0,3603;0,9038
crf-100-2-lnsmote;1090;5176;3666;53;0,5854;0,9536
crf-50-4;694;756;8086;449;0,0855;0,6072
crf-50-4-smote;895;1970;6872;248;0,2228;0,7830
crf-50-4-lnsmote;1023;3435;5407;120;0,3885;0,8950
