ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;3;0;0;0;0,0026;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;4;0;0;0;0,0035;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;9;0;0;0;0,0079;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;13;1;0;0;0,0114;0,0001;0;0,9286;0;0;11,0000
0;0;0;0;0;0;20;1;0;0;0,0175;0,0001;0;0,9524;0;0;11,0000
0;0;0;0;0;0;27;1;0;0;0,0236;0,0001;0;0,9643;0;0;11,0000
0;0;0;0;0;0;33;1;0;0;0,0289;0,0001;0;0,9706;0;0;11,0000
0;0;0;0;0;0;39;1;0;0;0,0341;0,0001;0;0,9750;0;0;11,0000
0;0;0;0;0;0;43;2;0;0;0,0376;0,0002;0;0,9556;0;0;52,0000
0;0;0;0;0;0;47;2;0;0;0,0411;0,0002;0;0,9592;0;0;52,0000
0;0;0;0;0;0;55;3;0;0;0,0481;0,0003;0;0,9483;0;0;103,0000
0;0;0;0;0;0;63;4;0;0;0,0551;0,0005;0;0,9403;0;0;162,0000
0;0;0;0;0;0;75;4;0;0;0,0656;0,0005;0;0,9494;0;0;162,0000
0;0;0;0;0;0;86;5;0;0;0,0752;0,0006;0;0,9451;0;0;242,5000
0;0;0;0;0;0;93;5;0;0;0,0814;0,0006;0;0,9490;0;0;242,5000
0;0;0;0;0;0;108;6;0;0;0,0945;0,0007;0;0,9474;0;0;343,0000
0;0;0;0;0;0;124;7;0;0;0,1085;0,0008;0;0,9466;0;0;459,0000
0;0;0;0;0;0;147;10;0;0;0,1286;0,0011;0;0,9363;0;0;865,5000
0;0;0;0;0;0;157;12;0;0;0,1374;0,0014;0;0,9290;0;0;1169,5000
0;0;0;0;0;0;176;18;0;0;0,1540;0,0020;0;0,9072;0;0;2168,5000
0;0;0;0;0;0;192;23;0;0;0,1680;0,0026;0;0,8930;0;0;3088,5000
0;0;0;0;0;0;211;28;0;0;0,1846;0,0032;0;0,8828;0;0;4096,0000
0;0;0;0;0;0;228;34;0;0;0,1995;0,0038;0;0,8702;0;0;5413,0000
0;0;0;0;0;0;237;43;0;0;0,2073;0,0049;0;0,8464;0;0;7505,5000
0;0;0;0;0;0;257;56;0;0;0,2248;0,0063;0;0,8211;0;0;10716,5000
0;0;0;0;0;0;273;67;0;0;0,2388;0,0076;0;0,8029;0;0;13631,5000
0;0;0;0;0;0;293;83;0;0;0,2563;0,0094;0;0,7793;0;0;18159,5000
0;0;0;0;0;0;314;99;0;0;0,2747;0,0112;0;0,7603;0;0;23015,5000
0;0;0;0;0;0;326;116;0;0;0,2852;0,0131;0;0,7376;0;0;28455,5000
0;0;0;0;0;0;388;486;0;0;0,3395;0,0550;0;0,4439;0;0;160545,5000
0;0;0;0;0;0;402;510;0;0;0,3517;0,0577;0;0,4408;0;0;170025,5000
0;0;0;0;0;0;420;527;0;0;0,3675;0,0596;0;0,4435;0;0;177012,5000
0;0;0;0;0;0;433;553;0;0;0,3788;0,0625;0;0,4391;0;0;188101,5000
