ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;5;0;0;0;0,0044;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;20;6;0;0;0,0175;0,0007;0;0,7692;0;0;75,0000
0;0;0;0;0;0;42;7;0;0;0,0367;0,0008;0;0,8571;0;0;106,0000
0;0;0;0;0;0;57;8;0;0;0,0499;0,0009;0;0,8769;0;0;155,5000
0;0;0;0;0;0;78;10;0;0;0,0682;0,0011;0;0,8864;0;0;290,5000
0;0;0;0;0;0;99;11;0;0;0,0866;0,0012;0;0,9000;0;0;379,0000
0;0;0;0;0;0;114;15;0;0;0,0997;0,0017;0;0,8837;0;0;805,0000
0;0;0;0;0;0;136;23;0;0;0,1190;0,0026;0;0,8553;0;0;1805,0000
0;0;0;0;0;0;153;27;0;0;0,1339;0,0031;0;0,8500;0;0;2383,0000
0;0;0;0;0;0;214;388;0;0;0,1872;0,0439;0;0,3555;0;0;68626,5000
0;0;0;0;0;0;244;408;0;0;0,2135;0,0461;0;0,3742;0;0;73206,5000
0;0;0;0;0;0;268;419;0;0;0,2345;0,0474;0;0,3901;0;0;76022,5000
0;0;0;0;0;0;299;435;0;0;0,2616;0,0492;0;0,4074;0;0;80558,5000
0;0;0;0;0;0;334;462;0;0;0,2922;0,0523;0;0,4196;0;0;89104,0000
0;0;0;0;0;0;370;491;0;0;0,3237;0,0555;0;0,4297;0;0;99312,0000
0;0;0;0;0;0;416;535;0;0;0,3640;0,0605;0;0,4374;0;0;116604,0000
0;0;0;0;0;0;455;575;0;0;0,3981;0,0650;0;0,4417;0;0;134024,0000
0;0;0;0;0;0;490;643;0;0;0,4287;0,0727;0;0,4325;0;0;166154,0000
0;0;0;0;0;0;533;699;0;0;0,4663;0,0791;0;0,4326;0;0;194798,0000
0;0;0;0;0;0;567;761;0;0;0,4961;0,0861;0;0,4270;0;0;228898,0000
0;0;0;0;0;0;603;834;0;0;0,5276;0,0943;0;0,4196;0;0;271603,0000
0;0;0;0;0;0;634;904;0;0;0,5547;0,1022;0;0,4122;0;0;314898,0000
0;0;0;0;0;0;664;984;0;0;0,5809;0,1113;0;0,4029;0;0;366818,0000
0;0;0;0;0;0;684;1065;0;0;0,5984;0,1204;0;0,3911;0;0;421412,0000
0;0;0;0;0;0;722;1147;0;0;0,6317;0,1297;0;0,3863;0;0;479058,0000
0;0;0;0;0;0;755;1211;0;0;0,6605;0,1370;0;0,3840;0;0;526322,0000
0;0;0;0;0;0;785;1299;0;0;0,6868;0,1469;0;0,3767;0;0;594082,0000
0;0;0;0;0;0;804;1357;0;0;0,7034;0,1535;0;0,3720;0;0;640163,0000
0;0;0;0;0;0;818;1431;0;0;0,7157;0,1618;0;0,3637;0;0;700177,0000
0;0;0;0;0;0;841;1541;0;0;0,7358;0,1743;0;0,3531;0;0;791422,0000
0;0;0;0;0;0;856;1607;0;0;0,7489;0,1817;0;0,3475;0;0;847423,0000
0;0;0;0;0;0;872;1674;0;0;0,7629;0,1893;0;0,3425;0;0;905311,0000
