ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;4;0;0;0;0,0035;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;5;0;0;0;0,0044;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;9;0;0;0;0,0079;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;15;0;0;0;0,0131;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;23;1;0;0;0,0201;0,0001;0;0,9583;0;0;19,0000
0;0;0;0;0;0;35;2;0;0;0,0306;0,0002;0;0,9459;0;0;48,0000
0;0;0;0;0;0;45;4;0;0;0,0394;0,0005;0;0,9184;0;0;128,0000
0;0;0;0;0;0;62;6;0;0;0,0542;0,0007;0;0,9118;0;0;235,0000
0;0;0;0;0;0;84;8;0;0;0,0735;0,0009;0;0,9130;0;0;381,0000
0;0;0;0;0;0;110;17;0;0;0,0962;0,0019;0;0,8661;0;0;1254,0000
0;0;0;0;0;0;131;34;0;0;0,1146;0,0038;0;0,7939;0;0;3302,5000
0;0;0;0;0;0;166;52;0;0;0,1452;0,0059;0;0,7615;0;0;5975,5000
0;0;0;0;0;0;204;75;0;0;0,1785;0,0085;0;0,7312;0;0;10230,5000
0;0;0;0;0;0;235;111;0;0;0,2056;0,0126;0;0,6792;0;0;18132,5000
0;0;0;0;0;0;280;159;0;0;0,2450;0,0180;0;0,6378;0;0;30492,5000
0;0;0;0;0;0;368;557;0;0;0,3220;0,0630;0;0,3978;0;0;159444,5000
0;0;0;0;0;0;402;599;0;0;0,3517;0,0677;0;0,4016;0;0;175614,5000
0;0;0;0;0;0;443;652;0;0;0,3876;0,0737;0;0,4046;0;0;198007,0000
0;0;0;0;0;0;489;713;0;0;0,4278;0,0806;0;0,4068;0;0;226433,0000
0;0;0;0;0;0;526;777;0;0;0,4602;0,0879;0;0,4037;0;0;258913,0000
0;0;0;0;0;0;556;815;0;0;0,4864;0,0922;0;0,4055;0;0;279471,0000
0;0;0;0;0;0;577;845;0;0;0,5048;0,0956;0;0,4058;0;0;296466,0000
0;0;0;0;0;0;598;876;0;0;0,5232;0,0991;0;0,4057;0;0;314678,5000
0;0;0;0;0;0;617;902;0;0;0,5398;0,1020;0;0,4062;0;0;330473,5000
0;0;0;0;0;0;630;920;0;0;0,5512;0,1040;0;0,4065;0;0;341696,5000
0;0;0;0;0;0;644;964;0;0;0,5634;0,1090;0;0,4005;0;0;369724,5000
0;0;0;0;0;0;664;984;0;0;0,5809;0,1113;0;0,4029;0;0;382804,5000
0;0;0;0;0;0;677;1012;0;0;0,5923;0,1145;0;0,4008;0;0;401578,5000
0;0;0;0;0;0;694;1050;0;0;0,6072;0,1188;0;0,3979;0;0;427627,5000
0;0;0;0;0;0;713;1097;0;0;0,6238;0,1241;0;0,3939;0;0;460692,0000
0;0;0;0;0;0;728;1133;0;0;0,6369;0,1281;0;0,3912;0;0;486630,0000
0;0;0;0;0;0;736;1173;0;0;0,6439;0,1327;0;0,3855;0;0;515910,0000
0;0;0;0;0;0;746;1208;0;0;0,6527;0,1366;0;0,3818;0;0;541845,0000
