ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;2;0;0;0;0,0017;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;4;0;0;0;0,0035;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;5;0;0;0;0,0044;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;9;0;0;0;0,0079;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;12;0;0;0;0,0105;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;18;0;0;0;0,0157;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;26;0;0;0;0,0227;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;36;0;0;0;0,0315;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;44;0;0;0;0,0385;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;48;0;0;0;0,0420;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;55;1;0;0;0,0481;0,0001;0;0,9821;0;0;51,5000
0;0;0;0;0;0;62;2;0;0;0,0542;0,0002;0;0,9688;0;0;110,0000
0;0;0;0;0;0;67;2;0;0;0,0586;0,0002;0;0,9710;0;0;110,0000
0;0;0;0;0;0;76;2;0;0;0,0665;0,0002;0;0,9744;0;0;110,0000
0;0;0;0;0;0;83;2;0;0;0,0726;0,0002;0;0,9765;0;0;110,0000
0;0;0;0;0;0;87;2;0;0;0,0761;0,0002;0;0,9775;0;0;110,0000
0;0;0;0;0;0;95;2;0;0;0,0831;0,0002;0;0,9794;0;0;110,0000
0;0;0;0;0;0;99;3;0;0;0,0866;0,0003;0;0,9706;0;0;207,0000
0;0;0;0;0;0;102;4;0;0;0,0892;0,0005;0;0,9623;0;0;307,5000
0;0;0;0;0;0;108;6;0;0;0,0945;0,0007;0;0,9474;0;0;517,5000
0;0;0;0;0;0;114;6;0;0;0,0997;0,0007;0;0,9500;0;0;517,5000
0;0;0;0;0;0;121;7;0;0;0,1059;0,0008;0;0,9453;0;0;635,0000
0;0;0;0;0;0;125;9;0;0;0,1094;0,0010;0;0,9328;0;0;881,0000
0;0;0;0;0;0;135;9;0;0;0,1181;0,0010;0;0,9375;0;0;881,0000
0;0;0;0;0;0;138;12;0;0;0,1207;0,0014;0;0,9200;0;0;1290,5000
0;0;0;0;0;0;142;13;0;0;0,1242;0,0015;0;0,9161;0;0;1430,5000
0;0;0;0;0;0;148;13;0;0;0,1295;0,0015;0;0,9193;0;0;1430,5000
0;0;0;0;0;0;158;14;0;0;0,1382;0,0016;0;0,9186;0;0;1583,5000
0;0;0;0;0;0;165;16;0;0;0,1444;0,0018;0;0,9116;0;0;1906,5000
0;0;0;0;0;0;172;17;0;0;0,1505;0,0019;0;0,9101;0;0;2075,0000
0;0;0;0;0;0;178;18;0;0;0,1557;0,0020;0;0,9082;0;0;2250,0000
0;0;0;0;0;0;187;19;0;0;0,1636;0,0021;0;0,9078;0;0;2432,5000
0;0;0;0;0;0;194;21;0;0;0,1697;0,0024;0;0,9023;0;0;2813,5000
