Klasifikasi;Dataset;ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;Presisi;F-Measure;Akurasi;AUC
RF\\ 200 pohon;Tanpa \newline sampel ulang;0;1462096216;1462096220;4;0,0976;0;189;11;8831;954;0,1654;0,0012;0,9988;0,9450;0,2815;0,9034;0,8570
;SMOTE;0;1462106385;1462106389;4;0,0976;0;237;36;8806;906;0,2073;0,0041;0,9959;0,8681;0,3347;0,9057;0,8541
;LN-SMOTE;0;1462105520;1462105523;3;0,0965;0;269;47;8795;874;0,2353;0,0053;0,9947;0,8513;0,3687;0,9078;0,8527
CRF\\ 200 tingkat\\ 1 pohon;Tanpa \newline sampel ulang;0;1462112013;1462112016;3;0,5884;0,1939;1105;4135;4707;38;0,9668;0,4677;0,5323;0,2109;0,3462;0,5821;0,8673
;SMOTE;0;1462306802;1462306804;2;0,7180;0,0385;1119;5573;3269;24;0,9790;0,6303;0,3697;0,1672;0,2856;0,4395;0,8590
;LN-SMOTE;0;1462115548;1462115551;3;0,8629;0,0943;1132;7567;1275;11;0,9904;0,8558;0,1442;0,1301;0,2300;0,2411;0,8538
CRF\\ 100 tingkat\\ 2 pohon;Tanpa \newline sampel ulang;0;1462216413;1462216416;3;0,3688;0,6540;929;2126;6716;214;0,8128;0,2404;0,7596;0,3041;0,4426;0,7656;0,8477
;SMOTE;0;1462221211;1462221213;2;0,4921;0,1450;1033;3186;5656;110;0,9038;0,3603;0,6397;0,2448;0,3853;0,6699;0,8694
;LN-SMOTE;0;1462300840;1462300843;3;0,6863;0,3040;1090;5176;3666;53;0,9536;0,5854;0,4146;0,1740;0,2942;0,4763;0,8484
CRF\\ 50 tingkat\\ 4 pohon;Tanpa \newline sampel ulang;0;1462373384;1462373386;2;0,1826;1,6095;694;756;8086;449;0,6072;0,0855;0,9145;0,4786;0,5353;0,8793;0,8484
;SMOTE;0;1462378171;1462378173;2;0,3503;0,4043;895;1970;6872;248;0,7830;0,2228;0,7772;0,3124;0,4466;0,7779;0,8557
;LN-SMOTE;0;1462377839;1462377842;3;0,5209;0,8076;1023;3435;5407;120;0,8950;0,3885;0,6115;0,2295;0,3653;0,6440;0,8486
